Account_ID,Account_Name,Category,Month,Debit,Credit
40002,Interest Income,Revenue,2025-08,0,7594
40003,Other Income,Revenue,2025-08,0,4412
50000,Salary Expense,Expense,2025-08,1424,0
50001,Rent Expense,Expense,2025-08,9447,0
50002,Utilities Expense,Expense,2025-08,3241,0
50003,Supplies Expense,Expense,2025-08,7519,0
50004,Depreciation Expense,Expense,2025-08,3586,0
50005,Marketing Expense,Expense,2025-08,1910,0
50006,Travel Expense,Expense,2025-08,6688,0
50007,Insurance Expense,Expense,2025-08,3023,0
50008,IT Expense,Expense,2025-08,5401,0
50009,Bank Charges,Expense,2025-08,4286,0
50010,Telephone Expense,Expense,2025-08,9005,0
50011,Repairs & Maintenance,Expense,2025-08,6077,0
50012,Payroll Tax Expense,Expense,2025-08,4368,0
50013,Training Expense,Expense,2025-08,4848,0
10000,Cash,Asset,2025-09,4949,0
10001,Accounts Receivable,Asset,2025-09,9535,0
10002,Inventory,Asset,2025-09,3809,0
10003,Prepaid Expenses,Asset,2025-09,9373,0
10004,Fixed Assets,Asset,2025-09,6719,0
20000,Accounts Payable,Liability,2025-09,0,8747
20001,Accrued Expenses,Liability,2025-09,0,9186
20002,Short-Term Debt,Liability,2025-09,0,9676
20003,Long-Term Debt,Liability,2025-09,0,3172
30000,Common Stock,Equity,2025-09,0,6630
30001,Retained Earnings,Equity,2025-09,0,41517
40000,Sales Revenue,Revenue,2025-09,0,1314
40001,Service Revenue,Revenue,2025-09,0,1631
40002,Interest Income,Revenue,2025-09,0,7676
40003,Other Income,Revenue,2025-09,0,923
50000,Salary Expense,Expense,2025-09,1028,0
50001,Rent Expense,Expense,2025-09,5129,0
50002,Utilities Expense,Expense,2025-09,233,0
50003,Supplies Expense,Expense,2025-09,2205,0
50004,Depreciation Expense,Expense,2025-09,3727,0
50005,Marketing Expense,Expense,2025-09,6416,0
50006,Travel Expense,Expense,2025-09,1952,0
50007,Insurance Expense,Expense,2025-09,5010,0
50008,IT Expense,Expense,2025-09,4275,0
50009,Bank Charges,Expense,2025-09,5448,0
50010,Telephone Expense,Expense,2025-09,9542,0
50011,Repairs & Maintenance,Expense,2025-09,6290,0
50012,Payroll Tax Expense,Expense,2025-09,1356,0
50013,Training Expense,Expense,2025-09,3476,0
10000,Cash,Asset,2025-10,5745,0
10001,Accounts Receivable,Asset,2025-10,3586,0
10002,Inventory,Asset,2025-10,3684,0
10003,Prepaid Expenses,Asset,2025-10,9688,0
10004,Fixed Assets,Asset,2025-10,8153,0
20000,Accounts Payable,Liability,2025-10,0,3430
20001,Accrued Expenses,Liability,2025-10,0,2803
20002,Short-Term Debt,Liability,2025-10,0,8762
20003,Long-Term Debt,Liability,2025-10,0,8220
30000,Common Stock,Equity,2025-10,0,7214
30001,Retained Earnings,Equity,2025-10,0,54033
40000,Sales Revenue,Revenue,2025-10,0,5163
40001,Service Revenue,Revenue,2025-10,0,8649
40002,Interest Income,Revenue,2025-10,0,7675
40003,Other Income,Revenue,2025-10,0,767
50000,Salary Expense,Expense,2025-10,4568,0
50001,Rent Expense,Expense,2025-10,9437,0
50002,Utilities Expense,Expense,2025-10,6919,0
50003,Supplies Expense,Expense,2025-10,3819,0
50004,Depreciation Expense,Expense,2025-10,2845,0
50005,Marketing Expense,Expense,2025-10,7583,0
50006,Travel Expense,Expense,2025-10,639,0
50007,Insurance Expense,Expense,2025-10,5064,0
50008,IT Expense,Expense,2025-10,4935,0
50009,Bank Charges,Expense,2025-10,3875,0
50010,Telephone Expense,Expense,2025-10,6142,0
50011,Repairs & Maintenance,Expense,2025-10,7202,0
50012,Payroll Tax Expense,Expense,2025-10,7412,0
50013,Training Expense,Expense,2025-10,5420,0
10000,Cash,Asset,2025-11,6232,0
10001,Accounts Receivable,Asset,2025-11,7991,0
10002,Inventory,Asset,2025-11,2879,0
10003,Prepaid Expenses,Asset,2025-11,1024,0
10004,Fixed Assets,Asset,2025-11,1681,0
20000,Accounts Payable,Liability,2025-11,0,7814
20001,Accrued Expenses,Liability,2025-11,0,3424
20002,Short-Term Debt,Liability,2025-11,0,5813
20003,Long-Term Debt,Liability,2025-11,0,7126
30000,Common Stock,Equity,2025-11,0,355
30001,Retained Earnings,Equity,2025-11,0,53999
40000,Sales Revenue,Revenue,2025-11,0,1938
40001,Service Revenue,Revenue,2025-11,0,109
40002,Interest Income,Revenue,2025-11,0,2971
40003,Other Income,Revenue,2025-11,0,9089
50000,Salary Expense,Expense,2025-11,7509,0
50001,Rent Expense,Expense,2025-11,7518,0
50002,Utilities Expense,Expense,2025-11,5224,0
50003,Supplies Expense,Expense,2025-11,1115,0
50004,Depreciation Expense,Expense,2025-11,2293,0
50005,Marketing Expense,Expense,2025-11,8515,0
50006,Travel Expense,Expense,2025-11,7549,0
50007,Insurance Expense,Expense,2025-11,4258,0
50008,IT Expense,Expense,2025-11,4025,0
50009,Bank Charges,Expense,2025-11,7070,0
50010,Telephone Expense,Expense,2025-11,7038,0
50011,Repairs & Maintenance,Expense,2025-11,4884,0
50012,Payroll Tax Expense,Expense,2025-11,4100,0
50013,Training Expense,Expense,2025-11,1733,0
10000,Cash,Asset,2025-12,7366,0
10001,Accounts Receivable,Asset,2025-12,8802,0
10002,Inventory,Asset,2025-12,484,0
10003,Prepaid Expenses,Asset,2025-12,504,0
10004,Fixed Assets,Asset,2025-12,8275,0
20000,Accounts Payable,Liability,2025-12,0,2100
20001,Accrued Expenses,Liability,2025-12,0,9960
20002,Short-Term Debt,Liability,2025-12,0,6089
20003,Long-Term Debt,Liability,2025-12,0,1560
30000,Common Stock,Equity,2025-12,0,7290
30001,Retained Earnings,Equity,2025-12,0,52267
40000,Sales Revenue,Revenue,2025-12,0,3736
40001,Service Revenue,Revenue,2025-12,0,4909
40002,Interest Income,Revenue,2025-12,0,4278
40003,Other Income,Revenue,2025-12,0,7345
50000,Salary Expense,Expense,2025-12,6700,0
50001,Rent Expense,Expense,2025-12,6097,0
50002,Utilities Expense,Expense,2025-12,2148,0
50003,Supplies Expense,Expense,2025-12,4880,0
50004,Depreciation Expense,Expense,2025-12,816,0
50005,Marketing Expense,Expense,2025-12,8039,0
50006,Travel Expense,Expense,2025-12,5665,0
50007,Insurance Expense,Expense,2025-12,4644,0
50008,IT Expense,Expense,2025-12,5076,0
50009,Bank Charges,Expense,2025-12,3519,0
50010,Telephone Expense,Expense,2025-12,7339,0
50011,Repairs & Maintenance,Expense,2025-12,9866,0
50012,Payroll Tax Expense,Expense,2025-12,349,0
50013,Training111 Expense,Expense,2025-12,8965,0
50014,Training new Expense,Expense,2025-12,8965,0
